symbol,timeframe,no,num,profit,drawdown,win_rate,ma_long_period,ma_long_trend_th,atr_period,atr_multiply,update_count,atrp_period,profit_ma_period,profit_target,profit_drop,strategy,begin_hour,begin_minute,hours,sl_method,sl_value,trail_target,trail_stop,volume,position_max,timelimit
NSDQ,M30,0,1091,10693.56,-7288.308,0.349220898,20,2,10,1.5,3,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[60],0,0,0.1,2,0
NSDQ,M15,6,1827,15100.33,-12237.272,0.353037767,25,0.8,15,2.5,5,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[60],0,0,0.1,2,0
NIKKEI,M15,2,2280,18226.84,-19949.828,0.215350877,60,0.7,5,2,1,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[40],0,0,0.1,2,0
HK50,M30,31,1540,20512.32,-15836.76,0.180519481,60,0.2,10,1.5,1,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[35],0,0,0.1,2,0
FTSE,M30,9,414,2480.96,-1774.76,0.393719807,70,0.8,15,2,5,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[40],0,0,0.1,2,0
DAX,M15,3,957,9033.5,-7808.58,0.289446186,45,1.2,20,4,2,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[40],0,0,0.1,2,0
XAGUSD,M30,5,112,16.313,-5.1696,0.446428571,40,4.4,20,4,8,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[1.0],0,0,0.1,2,0
XAUUSD,M15,11,775,969.29,-752.1,0.292903226,40,1.4,10,4,6,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[6],0,0,0.1,2,0
CL,M15,1,1433,65.301,-38.0614,0.085136078,50,1.8,5,3,3,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[0.065],0,0,0.1,2,0
DOW,M15,3,954,12186.66,-11076.844,0.280922432,35,1.5,5,2.5,5,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[60],0,0,0.1,2,0
SP,M30,33,2959,2339.4,-3569.764,0.320040554,20,0.3,5,1,2,40,5,"[50, 100, 200, 300, 400]","[25, 50, 50, 100, 200]",anko,0,0,0,1,[10],0,0,0.1,2,0
